permalink,api,api_key,url
"permalink : ""https://moto.data.socrata.com/d/p6kq-vsa3"",","p6kq-vsa3"",",p6kq-vsa3,https://moto.data.socrata.com/resources/p6kq-vsa3.csv
"permalink : ""https://moto.data.socrata.com/d/jrat-ef37"",","jrat-ef37"",",jrat-ef37,https://moto.data.socrata.com/resources/jrat-ef37.csv
"permalink : ""https://moto.data.socrata.com/d/wrmr-tdyp"",","wrmr-tdyp"",",wrmr-tdyp,https://moto.data.socrata.com/resources/wrmr-tdyp.csv
"permalink : ""https://moto.data.socrata.com/d/4h35-4mtu"",","4h35-4mtu"",",4h35-4mtu,https://moto.data.socrata.com/resources/4h35-4mtu.csv
"permalink : ""https://moto.data.socrata.com/d/n27x-skjv"",","n27x-skjv"",",n27x-skjv,https://moto.data.socrata.com/resources/n27x-skjv.csv
"permalink : ""https://moto.data.socrata.com/d/v4tj-cyi9"",","v4tj-cyi9"",",v4tj-cyi9,https://moto.data.socrata.com/resources/v4tj-cyi9.csv
"permalink : ""https://moto.data.socrata.com/d/qfdb-58dd"",","qfdb-58dd"",",qfdb-58dd,https://moto.data.socrata.com/resources/qfdb-58dd.csv
"permalink : ""https://moto.data.socrata.com/d/5c4j-6cka"",","5c4j-6cka"",",5c4j-6cka,https://moto.data.socrata.com/resources/5c4j-6cka.csv
"permalink : ""https://moto.data.socrata.com/d/nnzs-rxi5"",","nnzs-rxi5"",",nnzs-rxi5,https://moto.data.socrata.com/resources/nnzs-rxi5.csv
"permalink : ""https://moto.data.socrata.com/d/6h36-wpzf"",","6h36-wpzf"",",6h36-wpzf,https://moto.data.socrata.com/resources/6h36-wpzf.csv
"permalink : ""https://moto.data.socrata.com/d/9tv5-g2uz"",","9tv5-g2uz"",",9tv5-g2uz,https://moto.data.socrata.com/resources/9tv5-g2uz.csv
"permalink : ""https://moto.data.socrata.com/d/ybye-xjrr"",","ybye-xjrr"",",ybye-xjrr,https://moto.data.socrata.com/resources/ybye-xjrr.csv
"permalink : ""https://moto.data.socrata.com/d/vsr6-kf7i"",","vsr6-kf7i"",",vsr6-kf7i,https://moto.data.socrata.com/resources/vsr6-kf7i.csv
"permalink : ""https://moto.data.socrata.com/d/mkgr-xxwn"",","mkgr-xxwn"",",mkgr-xxwn,https://moto.data.socrata.com/resources/mkgr-xxwn.csv
"permalink : ""https://moto.data.socrata.com/d/kk9h-r9zr"",","kk9h-r9zr"",",kk9h-r9zr,https://moto.data.socrata.com/resources/kk9h-r9zr.csv
"permalink : ""https://moto.data.socrata.com/d/wirm-wbhy"",","wirm-wbhy"",",wirm-wbhy,https://moto.data.socrata.com/resources/wirm-wbhy.csv
"permalink : ""https://moto.data.socrata.com/d/rxhj-zewn"",","rxhj-zewn"",",rxhj-zewn,https://moto.data.socrata.com/resources/rxhj-zewn.csv
"permalink : ""https://moto.data.socrata.com/d/2dfc-gktv"",","2dfc-gktv"",",2dfc-gktv,https://moto.data.socrata.com/resources/2dfc-gktv.csv
"permalink : ""https://moto.data.socrata.com/d/qc87-2rvn"",","qc87-2rvn"",",qc87-2rvn,https://moto.data.socrata.com/resources/qc87-2rvn.csv
"permalink : ""https://moto.data.socrata.com/d/j4xx-q7jw"",","j4xx-q7jw"",",j4xx-q7jw,https://moto.data.socrata.com/resources/j4xx-q7jw.csv
"permalink : ""https://moto.data.socrata.com/d/2dg7-6s4z"",","2dg7-6s4z"",",2dg7-6s4z,https://moto.data.socrata.com/resources/2dg7-6s4z.csv
"permalink : ""https://moto.data.socrata.com/d/38iu-bd67"",","38iu-bd67"",",38iu-bd67,https://moto.data.socrata.com/resources/38iu-bd67.csv
"permalink : ""https://moto.data.socrata.com/d/gnnd-dfiz"",","gnnd-dfiz"",",gnnd-dfiz,https://moto.data.socrata.com/resources/gnnd-dfiz.csv
"permalink : ""https://moto.data.socrata.com/d/vafb-s5i2"",","vafb-s5i2"",",vafb-s5i2,https://moto.data.socrata.com/resources/vafb-s5i2.csv
"permalink : ""https://moto.data.socrata.com/d/ei6h-y7dq"",","ei6h-y7dq"",",ei6h-y7dq,https://moto.data.socrata.com/resources/ei6h-y7dq.csv
"permalink : ""https://moto.data.socrata.com/d/9wfx-9qes"",","9wfx-9qes"",",9wfx-9qes,https://moto.data.socrata.com/resources/9wfx-9qes.csv
"permalink : ""https://moto.data.socrata.com/d/5yhv-cgu7"",","5yhv-cgu7"",",5yhv-cgu7,https://moto.data.socrata.com/resources/5yhv-cgu7.csv
"permalink : ""https://moto.data.socrata.com/d/w67x-hhdz"",","w67x-hhdz"",",w67x-hhdz,https://moto.data.socrata.com/resources/w67x-hhdz.csv
"permalink : ""https://moto.data.socrata.com/d/k9v8-vh8y"",","k9v8-vh8y"",",k9v8-vh8y,https://moto.data.socrata.com/resources/k9v8-vh8y.csv
"permalink : ""https://moto.data.socrata.com/d/p4kf-33nm"",","p4kf-33nm"",",p4kf-33nm,https://moto.data.socrata.com/resources/p4kf-33nm.csv
"permalink : ""https://moto.data.socrata.com/d/r9qj-rrdq"",","r9qj-rrdq"",",r9qj-rrdq,https://moto.data.socrata.com/resources/r9qj-rrdq.csv
"permalink : ""https://moto.data.socrata.com/d/gqz3-7kh6"",","gqz3-7kh6"",",gqz3-7kh6,https://moto.data.socrata.com/resources/gqz3-7kh6.csv
"permalink : ""https://moto.data.socrata.com/d/xny3-tbqi"",","xny3-tbqi"",",xny3-tbqi,https://moto.data.socrata.com/resources/xny3-tbqi.csv
"permalink : ""https://moto.data.socrata.com/d/if6r-65cf"",","if6r-65cf"",",if6r-65cf,https://moto.data.socrata.com/resources/if6r-65cf.csv
"permalink : ""https://moto.data.socrata.com/d/9daj-ackw"",","9daj-ackw"",",9daj-ackw,https://moto.data.socrata.com/resources/9daj-ackw.csv
"permalink : ""https://moto.data.socrata.com/d/ura6-jy6v"",","ura6-jy6v"",",ura6-jy6v,https://moto.data.socrata.com/resources/ura6-jy6v.csv
"permalink : ""https://moto.data.socrata.com/d/c943-w8up"",","c943-w8up"",",c943-w8up,https://moto.data.socrata.com/resources/c943-w8up.csv
"permalink : ""https://moto.data.socrata.com/d/n3wc-t646"",","n3wc-t646"",",n3wc-t646,https://moto.data.socrata.com/resources/n3wc-t646.csv
"permalink : ""https://moto.data.socrata.com/d/turg-k5ub"",","turg-k5ub"",",turg-k5ub,https://moto.data.socrata.com/resources/turg-k5ub.csv
"permalink : ""https://moto.data.socrata.com/d/jfwn-iu5d"",","jfwn-iu5d"",",jfwn-iu5d,https://moto.data.socrata.com/resources/jfwn-iu5d.csv
"permalink : ""https://moto.data.socrata.com/d/criy-sikb"",","criy-sikb"",",criy-sikb,https://moto.data.socrata.com/resources/criy-sikb.csv
"permalink : ""https://moto.data.socrata.com/d/du6n-4fyc"",","du6n-4fyc"",",du6n-4fyc,https://moto.data.socrata.com/resources/du6n-4fyc.csv
"permalink : ""https://moto.data.socrata.com/d/ter5-gmgn"",","ter5-gmgn"",",ter5-gmgn,https://moto.data.socrata.com/resources/ter5-gmgn.csv
"permalink : ""https://moto.data.socrata.com/d/xjga-i98z"",","xjga-i98z"",",xjga-i98z,https://moto.data.socrata.com/resources/xjga-i98z.csv
"permalink : ""https://moto.data.socrata.com/d/dg73-dzvm"",","dg73-dzvm"",",dg73-dzvm,https://moto.data.socrata.com/resources/dg73-dzvm.csv
"permalink : ""https://moto.data.socrata.com/d/w4j8-47pg"",","w4j8-47pg"",",w4j8-47pg,https://moto.data.socrata.com/resources/w4j8-47pg.csv
"permalink : ""https://moto.data.socrata.com/d/5e96-55x5"",","5e96-55x5"",",5e96-55x5,https://moto.data.socrata.com/resources/5e96-55x5.csv
"permalink : ""https://moto.data.socrata.com/d/7eqd-4ng7"",","7eqd-4ng7"",",7eqd-4ng7,https://moto.data.socrata.com/resources/7eqd-4ng7.csv
"permalink : ""https://moto.data.socrata.com/d/5fsp-4scu"",","5fsp-4scu"",",5fsp-4scu,https://moto.data.socrata.com/resources/5fsp-4scu.csv
"permalink : ""https://moto.data.socrata.com/d/daww-n44p"",","daww-n44p"",",daww-n44p,https://moto.data.socrata.com/resources/daww-n44p.csv
"permalink : ""https://moto.data.socrata.com/d/5eu3-nrsw"",","5eu3-nrsw"",",5eu3-nrsw,https://moto.data.socrata.com/resources/5eu3-nrsw.csv
